Date,ALL_EXCL_FUEL,MOSTLY_FOOD,NON_SPECIALISED,TEXTILE,HOUSEHOLD,OTHER,NON_STORE
1986 Jan,1883154,747432,163708,267774,261453,281699,161088
1986 Feb,1819796,773161,152656,223836,246502,275121,148519
1986 Mar,1912582,797104,169440,251438,249614,292348,152638
1986 Apr,1974419,809334,170540,275975,260086,299271,159213
1986 May,1948915,800193,170173,274979,251175,297655,154740
1986 Jun,2019114,821785,178366,295463,251507,311447,160546
1986 Jul,2051539,816033,184812,297969,269786,323187,159752
1986 Aug,2011746,804386,180911,297138,263427,310220,155665
1986 Sep,2046678,792943,181055,305350,280640,318368,168322
1986 Oct,2110669,810147,187728,308919,298637,325617,179621
1986 Nov,2315710,847794,231599,352009,332079,358077,194152
1986 Dec,2830206,970987,319570,490001,373714,469399,206536
1987 Jan,2032021,798562,172215,288186,288534,307900,176624
1987 Feb,1980748,805713,165682,247219,282836,313577,165721
1987 Mar,2009717,816051,174034,256756,280207,315562,167106
1987 Apr,2156967,862749,189729,308543,284440,336755,174751
1987 May,2075808,834375,175464,287515,280404,330093,167957
1987 Jun,2137092,844051,183014,304706,286522,345149,173651
1987 Jul,2208377,847098,198848,330804,301537,356037,174054
1987 Aug,2193689,854672,186160,317375,304843,356241,174399
1987 Sep,2177927,825398,188343,317164,314681,350923,181418
1987 Oct,2281593,850022,202862,340464,334112,355424,198710
1987 Nov,2506843,892292,248366,381103,371953,397845,215285
1987 Dec,3075829,1028966,346378,533443,422524,519848,224669
1988 Jan,2267165,845068,193734,316077,354371,364295,193620
1988 Feb,2164201,864420,178627,267003,324824,351326,178001
1988 Mar,2227296,893751,192979,283258,319268,356518,181522
1988 Apr,2309954,899831,195328,312896,330680,379170,192049
1988 May,2321889,904736,193670,322577,325868,385344,189694
1988 Jun,2331091,900316,199227,330852,323326,387613,189757
1988 Jul,2443590,907775,212694,356501,363880,406913,195827
1988 Aug,2410116,913793,204410,339444,355879,405094,191497
1988 Sep,2361782,881516,204956,342509,354619,386139,192043
1988 Oct,2511523,913594,220223,363422,389148,410274,214862
1988 Nov,2736759,953110,266979,411645,418855,452834,233335
1988 Dec,3426416,1122251,381661,581735,485061,605646,250061
1989 Jan,2402611,858015,207301,339369,384740,412176,201010
1989 Feb,2372341,919211,192807,293003,358914,408254,200152
1989 Mar,2442103,941701,209165,319602,354855,416153,200627
1989 Apr,2500609,971367,207525,341366,355884,422098,202369
1989 May,2559880,981961,211234,369953,349897,442719,204116
1989 Jun,2504302,973938,208430,350397,337294,435086,199158
1989 Jul,2580060,988979,218152,371778,354235,445348,201568
1989 Aug,2561408,983964,217046,357298,362585,443308,197207
1989 Sep,2544715,955930,216096,366609,364868,434173,207038
1989 Oct,2668058,986693,227155,377221,397264,457111,222613
1989 Nov,2886508,1026436,274733,421378,429938,494164,239860
1989 Dec,3666286,1216788,401815,612150,501527,664020,269986
1990 Jan,2588380,935790,216522,363453,406329,455838,210448
1990 Feb,2587244,1003439,207252,327640,384076,451754,213083
1990 Mar,2635781,1022179,216875,346661,366837,469277,213952
1990 Apr,2723947,1057312,228865,380153,369758,472668,215192
1990 May,2780142,1084597,224958,400758,367428,486960,215441
1990 Jun,2694624,1050138,222563,376653,359236,474420,211615
1990 Jul,2825275,1085127,235962,419627,371212,496817,216530
1990 Aug,2747811,1068880,230317,384725,371094,481636,211159
1990 Sep,2722737,1048028,230226,393438,369935,464391,216718
1990 Oct,2822318,1065202,236835,393534,399665,495504,231578
1990 Nov,3014630,1100274,279835,427558,429424,526305,251234
1990 Dec,3842641,1290345,424753,638782,504811,697026,286924
1991 Jan,2675448,1035420,231379,353240,389857,447847,217706
1991 Feb,2630080,1092484,206740,309429,360943,441861,218624
1991 Mar,2810439,1124924,232454,354965,392678,494685,210734
1991 Apr,2820226,1148587,236021,373445,366998,486211,208964
1991 May,2807299,1136001,232927,381641,359495,492571,204664
1991 Jun,2838249,1159828,238157,384576,356924,488966,209798
1991 Jul,2952383,1179580,259303,418288,375463,508604,211144
1991 Aug,2839701,1157824,239848,389836,366010,481567,204616
1991 Sep,2830190,1137775,240336,387947,370836,472911,220386
1991 Oct,2927957,1140005,254662,407768,390385,499397,235739
1991 Nov,3179269,1177961,313864,458816,428453,543558,256617
1991 Dec,3839377,1327831,427841,634395,510172,688654,250484
